date,1. open,2. high,3. low,4. close,5. volume,sym
2018-04-26 13:23:00,67.85,67.86,67.845,67.855,6021.0,NKE
2018-04-26 13:24:00,67.86,67.8699,67.855,67.86,2637.0,NKE
2018-04-26 13:25:00,67.85,67.87,67.845,67.87,2806.0,NKE
2018-04-26 13:26:00,67.87,67.87,67.85,67.85,3662.0,NKE
2018-04-26 13:27:00,67.855,67.86,67.84,67.85,5590.0,NKE
2018-04-26 13:28:00,67.85,67.85,67.81,67.81,4877.0,NKE
2018-04-26 13:29:00,67.82,67.8252,67.805,67.8075,5659.0,NKE
2018-04-26 13:30:00,67.8138,67.825,67.78,67.78,7497.0,NKE
2018-04-26 13:31:00,67.785,67.82,67.78,67.82,7420.0,NKE
2018-04-26 13:32:00,67.8144,67.83,67.81,67.82,5849.0,NKE
2018-04-26 13:33:00,67.83,67.835,67.82,67.82,4579.0,NKE
2018-04-26 13:34:00,67.83,67.84,67.82,67.8299,3766.0,NKE
2018-04-26 13:35:00,67.84,67.87,67.8209,67.87,4220.0,NKE
2018-04-26 13:36:00,67.87,67.9,67.86,67.9,2312.0,NKE
2018-04-26 13:37:00,67.8939,67.895,67.89,67.89,2768.0,NKE
2018-04-26 13:38:00,67.8861,67.9,67.84,67.84,21081.0,NKE
2018-04-26 13:39:00,67.84,67.84,67.82,67.83,6000.0,NKE
2018-04-26 13:40:00,67.84,67.8452,67.835,67.84,2021.0,NKE
2018-04-26 13:41:00,67.85,67.85,67.82,67.82,3541.0,NKE
2018-04-26 13:42:00,67.8146,67.8146,67.8,67.81,2628.0,NKE
2018-04-26 13:43:00,67.81,67.84,67.81,67.83,5417.0,NKE
2018-04-26 13:44:00,67.8344,67.86,67.8344,67.85,5093.0,NKE
2018-04-26 13:45:00,67.84,67.85,67.84,67.85,900.0,NKE
2018-04-26 13:46:00,67.8509,67.86,67.85,67.86,8403.0,NKE
2018-04-26 13:47:00,67.86,67.86,67.835,67.84,8000.0,NKE
2018-04-26 13:48:00,67.84,67.845,67.84,67.84,1100.0,NKE
2018-04-26 13:49:00,67.84,67.85,67.84,67.84,1543.0,NKE
2018-04-26 13:50:00,67.85,67.86,67.845,67.855,5581.0,NKE
2018-04-26 13:51:00,67.855,67.8551,67.84,67.84,14894.0,NKE
2018-04-26 13:52:00,67.84,67.8542,67.83,67.85,4392.0,NKE
2018-04-26 13:53:00,67.85,67.885,67.85,67.88,2200.0,NKE
2018-04-26 13:54:00,67.89,67.92,67.88,67.88,7296.0,NKE
2018-04-26 13:55:00,67.88,67.89,67.86,67.88,5050.0,NKE
2018-04-26 13:56:00,67.88,67.9,67.88,67.9,2299.0,NKE
2018-04-26 13:57:00,67.9,67.9,67.8856,67.89,3971.0,NKE
2018-04-26 13:58:00,67.89,67.9,67.89,67.9,1159.0,NKE
2018-04-26 13:59:00,67.9,67.9,67.8839,67.89,3184.0,NKE
2018-04-26 14:00:00,67.9,67.92,67.89,67.9139,9791.0,NKE
2018-04-26 14:01:00,67.91,67.94,67.9,67.94,4651.0,NKE
2018-04-26 14:02:00,67.9399,67.95,67.93,67.95,2564.0,NKE
2018-04-26 14:03:00,67.9468,67.95,67.94,67.95,11034.0,NKE
2018-04-26 14:04:00,67.95,67.95,67.9438,67.95,4120.0,NKE
2018-04-26 14:05:00,67.9499,67.95,67.94,67.94,2409.0,NKE
2018-04-26 14:06:00,67.95,67.95,67.94,67.94,1422.0,NKE
2018-04-26 14:07:00,67.95,67.95,67.94,67.95,7865.0,NKE
2018-04-26 14:08:00,67.95,67.97,67.94,67.965,12225.0,NKE
